HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
Edge Hill University,England,All,Part-time,Total,Total,2950
Edinburgh Napier University,Scotland,All,All,Domicile,Total Non-UK,3180
Edinburgh Napier University,Scotland,All,All,Total,Total,13930
Edinburgh Napier University,Scotland,All,Full-time,Total,Total,11660
Edinburgh Napier University,Scotland,All,Part-time,Total,Total,2275
The University of Edinburgh,Scotland,All,All,Domicile,Total Non-UK,14625
The University of Edinburgh,Scotland,All,All,Total,Total,35375
The University of Edinburgh,Scotland,All,Full-time,Total,Total,31985
The University of Edinburgh,Scotland,All,Part-time,Total,Total,3390
Empire College London Limited,England,All,All,Domicile,Total Non-UK,0
Empire College London Limited,England,All,All,Total,Total,175
Empire College London Limited,England,All,Full-time,Total,Total,175
The University of Essex,England,All,All,Domicile,Total Non-UK,5055
The University of Essex,England,All,All,Total,Total,16530
The University of Essex,England,All,Full-time,Total,Total,14745
The University of Essex,England,All,Part-time,Total,Total,1785
University College of Estate Management,England,All,All,Domicile,Total Non-UK,0
University College of Estate Management,England,All,All,Total,Total,2805
University College of Estate Management,England,All,Full-time,Total,Total,270
University College of Estate Management,England,All,Part-time,Total,Total,2535
ESCP Europe Business School,England,All,All,Domicile,Total Non-UK,400
ESCP Europe Business School,England,All,All,Total,Total,405
ESCP Europe Business School,England,All,Full-time,Total,Total,405
The University of Exeter,England,All,All,Domicile,Total Non-UK,7190
The University of Exeter,England,All,All,Total,Total,26935
The University of Exeter,England,All,Full-time,Total,Total,24420
The University of Exeter,England,All,Part-time,Total,Total,2515
Falmouth University,England,All,All,Domicile,Total Non-UK,635
Falmouth University,England,All,All,Total,Total,6245
Falmouth University,England,All,Full-time,Total,Total,5650
Falmouth University,England,All,Part-time,Total,Total,595
Fairfield School of Business Ltd,England,All,All,Domicile,Total Non-UK,0
Fairfield School of Business Ltd,England,All,All,Total,Total,395
Fairfield School of Business Ltd,England,All,Full-time,Total,Total,395
Met Film School Limited,England,All,All,Domicile,Total Non-UK,170
Met Film School Limited,England,All,All,Total,Total,345
Met Film School Limited,England,All,Full-time,Total,Total,345
The National Film and Television School,England,All,All,Domicile,Total Non-UK,140
The National Film and Television School,England,All,All,Total,Total,495
The National Film and Television School,England,All,Full-time,Total,Total,380
The National Film and Television School,England,All,Part-time,Total,Total,110
ForMission Ltd,England,All,All,Domicile,Total Non-UK,5
ForMission Ltd,England,All,All,Total,Total,120
ForMission Ltd,England,All,Full-time,Total,Total,90
ForMission Ltd,England,All,Part-time,Total,Total,30
Futureworks,England,All,All,Domicile,Total Non-UK,25
Futureworks,England,All,All,Total,Total,415
Futureworks,England,All,Full-time,Total,Total,415
Global Banking School Limited,England,All,All,Domicile,Total Non-UK,0
Global Banking School Limited,England,All,All,Total,Total,765
Global Banking School Limited,England,All,Full-time,Total,Total,765
Glasgow Caledonian University,Scotland,All,All,Domicile,Total Non-UK,2210
Glasgow Caledonian University,Scotland,All,All,Total,Total,17540
Glasgow Caledonian University,Scotland,All,Full-time,Total,Total,14210
Glasgow Caledonian University,Scotland,All,Part-time,Total,Total,3330
Glasgow School of Art,Scotland,All,All,Domicile,Total Non-UK,875
Glasgow School of Art,Scotland,All,All,Total,Total,2380
Glasgow School of Art,Scotland,All,Full-time,Total,Total,2240
Glasgow School of Art,Scotland,All,Part-time,Total,Total,135
The University of Glasgow,Scotland,All,All,Domicile,Total Non-UK,10490
The University of Glasgow,Scotland,All,All,Total,Total,32465
The University of Glasgow,Scotland,All,Full-time,Total,Total,27285
The University of Glasgow,Scotland,All,Part-time,Total,Total,5180
University of Gloucestershire,England,All,All,Domicile,Total Non-UK,505
