University,Total HE students,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-All,PG-Total-Overseas,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,UG-Total-All
University of Wales College of Medicine,3200,150,780,760,940,180,2030,240,2130,140,2270
"University of Wales College, Newport",7610,270,1070,1190,1340,150,2550,3720,5830,430,6260
The North-East Wales Institute of Higher Education,4510,30,380,380,410,30,2470,1630,3800,300,4100
Swansea Institute of Higher Education,4360,30,440,460,470,10,2980,900,3720,160,3880
"University of Wales, Swansea",11530,1160,1310,1960,2470,510,7460,1590,8070,980,9050
"Trinity College, Carmarthen",1660,150,90,230,230,0,1100,320,1380,50,1430
Welsh College of Music and Drama,560,0,0,10,10,0,500,40,510,40,550
Total Scotland,173520,15120,23410,28790,38520,9730,113430,21570,122870,12120,134990
The University of Aberdeen,11180,1140,1060,1410,2200,790,8110,880,7780,1210,8990
University of Abertay Dundee,4050,300,180,370,480,110,3320,250,3260,310,3570
The University of Dundee,11450,590,1980,1970,2570,600,7300,1580,8200,680,8880
Edinburgh College of Art,1660,260,80,240,340,100,1310,0,1150,160,1310
The University of Edinburgh,22170,2550,2070,3210,4620,1410,15200,2350,15600,1950,17550
Glasgow Caledonian University,14730,860,1250,1780,2120,340,10050,2560,11960,650,12610
Glasgow School of Art,1610,110,30,90,140,50,1440,30,1200,270,1470
The University of Glasgow,22700,1930,2070,3200,4000,800,14870,3830,17300,1400,18700
Heriot-Watt University,6920,810,1340,1510,2140,630,4650,130,4000,780,4780
Napier University,10570,820,820,1410,1650,240,7360,1570,8160,760,8920
Northern College of Education,2930,260,1390,1560,1650,90,840,440,1260,20,1280
The University of Paisley,9550,700,590,1220,1290,70,5770,2490,7910,350,8260
"Queen Margaret University College, Edinburgh",3700,120,230,290,350,60,2710,640,3000,350,3350
The Robert Gordon University,10040,680,1180,1500,1860,360,6630,1560,7480,700,8180
The Royal Scottish Academy of Music and Drama,610,70,30,70,100,30,510,0,480,30,510
The University of St Andrews,6350,690,250,660,940,280,5130,280,4510,900,5410
Scottish Agricultural College,860,70,0,70,70,0,780,0,740,40,780
The University of Stirling,8100,770,770,1080,1540,460,5720,840,6060,500,6560
The University of Strathclyde,24350,2420,8060,7160,10480,3320,11730,2140,12810,1060,13870
Total Northern Ireland,43110,3380,6070,7800,9440,1640,24910,8760,30220,3440,33660
The Queen's University of Belfast,20850,1860,2620,3730,4480,750,11180,5200,14920,1460,16380
St Mary's University College,850,10,150,150,150,0,630,60,650,40,690
Stranmillis University College,1080,20,120,130,130,0,700,250,900,60,960
University of Ulster,20330,1490,3190,3800,4680,880,12400,3250,13760,1890,15650
